verify_relationship_gold	verify_relationship_gold_reason	chemical_id	chemical_name	disease_id	disease_name	form_sentence	pmid	relation_pair_id	sentence_id	uniq_id	original_job_id
no_relation	The receptors to 5-HT6 are related to psychotic disorders, not 5-HT itself.	D012701	"<span class=""chemical"">5-HT</span>"	D011605	"<span class=""disease"">psychotic disorders</span>"	"These animal models were considered to reflect the positive symptoms of schizophrenia, and the above evidence suggests that altered <span class=""chemical"">5-HT</span>6 receptors are involved in the pathophysiology of <span class=""disease"">psychotic disorders</span>."	20705401	20705401_D012701_D011605	20705401_4	bcv_easy_68_sent_dev_set_762850	762850
no_relation	D-penicillamine was used to treat the patients.	D010396	"<span class=""chemical"">D-penicillamine</span>"	D012594	"<span class=""disease"">localized scleroderma</span>"	"Case reports of 11 patients with severe, extensive <span class=""disease"">localized scleroderma</span> who were treated with <span class=""chemical"">D-penicillamine</span> are summarized in this article."	2334179	2334179_D010396_D012594	2334179_3	bcv_easy_2399_sent_dev_set_762850	762850
no_relation	"The sentence says the affective disorders were caused by ""serotonin reuptake blockers"". Yohimbine was used to try and treat the patients."	D015016	"<span class=""chemical"">yohimbine</span>"	D019964	"<span class=""disease"">affective disorders</span>"	"METHOD: Six patients with either obsessive compulsive disorder, trichotillomania, anxiety, or <span class=""disease"">affective disorders</span> who suffered sexual side effects after treatment with serotonin reuptake blockers were given <span class=""chemical"">yohimbine</span> on a p.r.n. basis in an open clinical trial."	1535072	1535072_D015016_D019964	1535072_4	bcv_easy_642_sent_dev_set_762850	762850
no_relation	The sentence says calcium supplementation cannot be used to treat muscle spasms and tetany.	D002118	"<span class=""chemical"">calcium</span>"	D013035	"<span class=""disease"">muscle spasms</span>"	"While severe hypokalemia may cause muscle weakness, severe hypomagnesemia is associated with <span class=""disease"">muscle spasms</span> and tetany which cannot be corrected by potassium and <span class=""chemical"">calcium</span> supplementation alone (1,2)."	8492347	8492347_D002118_D013035	8492347_2	bcv_easy_1271_sent_dev_set_762850	762850
no_relation	Dexrazoxane is being used to try and make the patients better without making hematologic toxicity worse. The sentence does not say that dexrazoxane causes hematologic toxicity.	D064730	"<span class=""chemical"">dexrazoxane</span>"	D006402	"<span class=""disease"">hematologic toxicity</span>"	"Clinical trials in patients with brain metastases combining <span class=""chemical"">dexrazoxane</span> and high doses of etoposide is ongoing with the aim of improving efficacy without aggravating <span class=""disease"">hematologic toxicity</span>."	15897593	15897593_D064730_D006402	15897593_8	bcv_easy_2793_sent_dev_set_762850	762850
no_relation	Creatinine and hypertension were studied as potential predictors of decreased renal (kidney) function.	D003404	"<span class=""chemical"">creatinine</span>"	D006973	"<span class=""disease"">hypertension</span>"	"We used time-to-event analysis to identify potential predictors of decrease in renal function including age, baseline ejection fraction, baseline <span class=""chemical"">creatinine</span>, low systolic blood pressure (<100 mm Hg), history of <span class=""disease"">hypertension</span>, diabetes, and use of antiplatelet, diuretic, and beta-blocker therapy."	10539815	10539815_D003404_D006973	10539815_7	bcv_easy_306_sent_dev_set_762850	762850
no_relation	Remifentanil reduces the pain caused by propofol.	C071741	"<span class=""chemical"">remifentanil</span>"	D010146	"<span class=""disease"">pain</span>"	"CONCLUSIONS: During induction of anaesthesia with TCI of propofol and <span class=""chemical"">remifentanil</span>, a significant reduction in propofol infusion <span class=""disease"">pain</span> was achieved without significant complications by prior administration of <span class=""chemical"">remifentanil</span> at a target Ce of 4 ng ml(-1)."	18006530	18006530_C071741_D010146	18006530_11	bcv_easy_2437_sent_dev_set_762850	762850
yes_direct	This sentence talks about the first case of amisulpride induced hypertensive crisis.	C012052	"<span class=""chemical"">amisulpride</span>"	D006973	"<span class=""disease"">hypertensive</span>"	"CONCLUSIONS: As of March 24, 2005, this is the first reported case of <span class=""chemical"">amisulpride</span>- and tiapride-induced <span class=""disease"">hypertensive</span> crisis in a patient with pheochromocytoma."	15811908	15811908_C012052_D006973	15811908_7	bcv_easy_808_sent_dev_set_762850	762850
yes_direct	Capsaicin (the chemical that makes chilis spicy), when put under your skin, causes pain.	D002211	"<span class=""chemical"">capsaicin</span>"	D010146	"<span class=""disease"">painful</span>"	"A small amount of <span class=""chemical"">capsaicin</span> was administered subcutaneously in the right forehead to evoke a burning <span class=""disease"">painful</span> sensation in the first division of the trigeminal nerve."	9514561	9514561_D002211_D010146	9514561_4	bcv_easy_2013_sent_dev_set_762850	762850
no_relation	Daunorubicin is being studied as a way to treat AIDS related Kaposi's sarcoma.	D003630	"<span class=""chemical"">daunorubicin</span>"	D000163	"<span class=""disease"">AIDS</span>"	"We report a non-randomized Phase II clinical trial to assess the efficacy and safety of liposomal <span class=""chemical"">daunorubicin</span> (DaunoXome) in the treatment of <span class=""disease"">AIDS</span> related Kaposi's sarcoma."	8305357	8305357_D003630_D000163	8305357_1	bcv_easy_125_sent_dev_set_762850	762850
